0.032010 5.971287
0.064058 5.935614
0.096116 5.897857
0.128195 5.858180
0.160303 5.816754
0.192449 5.773762
0.224643 5.729394
0.256894 5.683851
0.289212 5.637343
0.321604 5.590086
0.354078 5.542305
0.386641 5.494232
0.419298 5.446104
0.452052 5.398165
0.484906 5.350660
0.517861 5.303839
0.550914 5.257949
0.584062 5.213242
0.617298 5.169958
0.650616 5.128335
0.684004 5.088601
0.717449 5.050973
0.750937 5.015650
0.784452 4.982817
0.817976 4.952636
0.851489 4.925246
0.884972 4.900765
0.884972 4.900765
0.918404 4.879283
0.951765 4.860863
0.985035 4.845544
1.018195 4.833339
1.051228 4.824235
1.084118 4.818198
1.116850 4.815173
1.149414 4.815087
1.181798 4.817852
1.213996 4.823368
1.246004 4.831523
1.277817 4.842199
1.309436 4.855274
1.340864 4.870621
1.372102 4.888112
1.403157 4.907622
1.434036 4.929024
1.464748 4.952197
1.495303 4.977023
1.525711 5.003385
1.555985 5.031175
1.586137 5.060285
1.616181 5.090613
1.646131 5.122064
1.676001 5.154541
1.705806 5.187957
1.735560 5.222222
1.765279 5.257253
1.794977 5.292966
1.824669 5.329280
1.854369 5.366115
1.884092 5.403389
1.913851 5.441020
1.943660 5.478927
1.973531 5.517022
2.003477 5.555218
2.033508 5.593423
2.063636 5.631541
2.093869 5.669473
2.124216 5.707111
2.154683 5.744345
2.185278 5.781056
2.216004 5.817123
2.246863 5.852414
2.277858 5.886795
2.308989 5.920124
2.340254 5.952257
2.371648 5.983042
2.403168 6.012327
2.434807 6.039957
2.466557 6.065779
2.498409 6.089640
2.530353 6.111389
2.562378 6.130883
2.594473 6.147985
2.626625 6.162568
2.658823 6.174515
2.691055 6.183723
2.723310 6.190102
2.755577 6.193577
2.787847 6.194091
2.820110 6.191603
2.852360 6.186088
2.884591 6.177542
2.916799 6.165973
2.948980 6.151411
2.981135 6.133900
3.013262 6.113499
3.045364 6.090285
3.077444 6.064346
3.109506 6.035787
3.141557 6.004725
